x y
9.77 13.52
9.78 10.98
9.81 15.70
9.83 15.93
9.87 18.30
9.91 15.52
9.93 18.56
9.95 13.85
9.97 17.12
9.98 18.15
10.01 14.52
10.05 12.21
10.08 14.37
10.10 14.17
10.11 16.28
10.12 14.68
10.17 14.93
10.17 14.46
10.18 14.90
10.19 17.68
10.21 18.21
10.24 18.17
10.25 12.94
10.26 15.61
10.30 17.43
10.31 17.82
10.33 16.33
10.34 18.08
10.34 16.64
10.37 14.43
10.38 14.58
10.40 14.42
10.43 15.31
10.46 13.16
10.55 15.02
10.67 12.62
10.69 16.74
10.70 13.66
10.77 15.63
10.77 17.21
10.77 18.96
10.82 14.85
10.88 14.83
10.93 13.75
10.99 13.03
11.03 18.08
11.14 16.04
11.17 18.91
11.17 14.66
11.20 19.05
11.24 15.07
11.30 15.17
11.37 15.65
11.42 15.66
11.46 15.85
11.49 19.64
11.51 16.50
11.61 15.56
11.66 15.64
11.66 17.09
11.69 19.49
11.70 16.66
11.74 16.83
11.78 15.55
