x y
9.58 14.29
9.60 15.85
9.61 14.95
9.62 12.65
9.67 16.47
9.70 14.52
9.72 10.89
9.74 16.04
9.74 13.40
9.75 15.81
9.76 17.48
9.76 14.19
9.76 13.88
9.79 15.31
9.83 15.79
9.85 15.62
9.85 15.19
9.86 14.42
9.86 13.65
9.87 13.17
9.88 13.63
9.90 14.58
9.91 13.96
9.92 15.65
9.93 13.62
9.94 15.46
9.95 14.22
9.96 13.60
9.96 15.58
10.09 17.80
10.09 12.28
10.14 17.23
10.16 14.84
10.17 16.23
10.17 17.65
10.24 12.93
10.25 13.35
10.27 13.54
10.29 14.67
10.33 16.32
10.33 14.58
10.35 18.54
10.36 14.29
10.36 17.62
10.37 14.15
10.37 14.57
10.38 13.02
10.43 13.45
10.61 12.49
10.66 13.55
10.69 17.05
10.83 15.40
10.84 14.76
10.87 13.61
10.89 17.64
10.92 14.14
10.96 12.95
10.99 17.90
10.99 15.29
11.05 14.07
11.09 15.83
11.15 14.81
11.18 14.53
11.20 14.75
11.20 19.04
11.26 18.17
11.28 13.45
11.36 14.16
11.37 19.24
11.44 15.77
11.49 14.21
11.52 16.28
11.53 15.01
11.54 18.07
11.57 16.71
11.58 15.99
